revision,unique_types,entropy
2400,4,0.472
2401,3,0.384
2433,8,0.211
2434,5,0.504
2435,5,0.44
2452,1,0.0
2454,1,0.0
2455,1,0.0
2456,1,0.0
2458,2,0.256
2459,1,0.0
2464,1,0.0
2467,4,0.28
2471,2,0.185
2472,2,0.256
2475,3,0.35
2476,3,0.406
2477,2,0.062
2480,6,0.498
2481,1,0.0
2485,1,0.0
2487,2,0.216
2501,2,0.159
2504,0,0.0
2508,8,0.437
2510,5,0.528
2514,4,0.496
2518,4,0.491
2524,1,0.0
2528,1,0.0
2531,2,0.11
2534,2,0.235
2537,2,0.256
2538,3,0.384
2539,2,0.256
2542,6,0.615
2543,4,0.492
2545,6,0.593
2547,4,0.493
2551,2,0.249
2556,4,0.491
2560,2,0.235
2561,5,0.56
2567,3,0.363
2576,1,0.0
2579,6,0.51
2596,4,0.472
2597,5,0.453
2599,1,0.0
2600,1,0.0
2617,5,0.475
2623,4,0.424
2625,2,0.256
2626,7,0.487
2629,1,0.0
2639,4,0.424
2659,2,0.185
2663,4,0.492
2668,6,0.407
2671,3,0.398
2678,1,0.0
2679,3,0.384
2686,2,0.256
2688,6,0.626
2699,5,0.572
2705,3,0.351
2706,3,0.406
2707,2,0.256
2708,1,0.0
2724,1,0.0
2735,7,0.474
2742,3,0.351
2746,3,0.39
2748,2,0.208
2751,5,0.487
2755,7,0.604
2756,2,0.185
2759,3,0.398
2765,4,0.451
2767,5,0.576
2772,2,0.208
2773,4,0.492
2780,4,0.491
2792,3,0.346
2793,3,0.384
2794,1,0.0
2796,5,0.393
2797,5,0.572
2800,2,0.235
2803,3,0.332
2806,8,0.415
2814,8,0.721
2817,1,0.0
2828,1,0.0
2829,4,0.281
2830,1,0.0
2834,4,0.241
2835,7,0.577
2836,4,0.492
2840,1,0.0
2842,2,0.235
2844,2,0.235
2846,1,0.0
2850,3,0.384
2851,3,0.384
2853,4,0.473
2854,4,0.412
2855,2,0.185
2860,4,0.412
2863,10,0.752
2872,3,0.384
2874,3,0.384
2876,1,0.0
2877,6,0.594
2883,0,0.0
2888,1,0.0
2890,0,0.0
2896,11,0.809
2899,0,0.0
2908,1,0.0
2944,12,0.683
2946,12,0.72
2948,0,0.0
2950,5,0.531
2951,1,0.0
2952,1,0.0
2953,0,0.0
2954,3,0.384
2955,4,0.458
2956,0,0.0
2960,1,0.0
2961,3,0.406
2962,3,0.406
2985,8,0.518
2990,3,0.398
2991,5,0.128
2997,6,0.62
3002,6,0.544
3005,1,0.0
3006,2,0.256
3009,2,0.208
3011,2,0.249
3013,0,0.0
3017,0,0.0
3018,1,0.0
3024,2,0.235
3025,10,0.52
3026,4,0.499
3028,3,0.39
3030,7,0.552
3036,1,0.0
3038,4,0.491
3040,4,0.488
3041,9,0.548
3042,1,0.0
3044,1,0.0
3045,1,0.0
3046,2,0.235
3047,1,0.0
3049,6,0.383
3052,4,0.492
3055,1,0.0
3056,2,0.166
3059,7,0.648
3060,3,0.384
3061,4,0.459
3066,2,0.208
3068,1,0.0
3072,0,0.0
3074,3,0.384
3076,4,0.331
3088,7,0.542
3095,5,0.576
3101,4,0.492
3102,5,0.552
3103,7,0.662
3106,4,0.448
3107,3,0.236
3113,4,0.484
3114,6,0.48
3116,1,0.0
3117,2,0.235
3118,12,0.715
3119,0,0.0
3122,3,0.384
3123,2,0.256
3129,12,0.696
3131,2,0.256
3133,9,0.77
3134,5,0.429
3136,1,0.0
3137,6,0.519
3143,1,0.0
3146,1,0.0
3151,5,0.531
3152,8,0.424
3153,1,0.0
3155,1,0.0
3161,10,0.606
3162,3,0.294
3164,8,0.37
3165,1,0.0
3172,3,0.384
3174,3,0.392
3176,1,0.0
3181,2,0.256
3182,1,0.0
3188,1,0.0
3189,1,0.0
3196,2,0.235
3199,4,0.484
3202,0,0.0
3213,3,0.406
3215,0,0.0
3225,1,0.0
3228,7,0.659
3230,2,0.235
3232,1,0.0
3233,6,0.304
3235,11,0.651
3238,2,0.235
3239,5,0.542
3244,2,0.129
3251,2,0.256
3253,2,0.249
3254,7,0.617
3275,1,0.0
3284,8,0.604
3286,4,0.464
3287,1,0.0
3289,2,0.249
3291,1,0.0
3298,1,0.0
3300,2,0.208
3303,1,0.0
3307,3,0.254
3309,3,0.307
3310,6,0.635
3311,4,0.476
3317,5,0.515
3321,6,0.582
3325,5,0.576
3328,9,0.439
3332,3,0.384
3333,7,0.675
3337,2,0.208
3338,1,0.0
