file,call,comment,refactoring,init,type,preprocessor,parameter,flow_control_stmt,access,cpp_feature,data_type,declaration,constructor,destructor,class,function
642,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
645,0,3,2,0,0,0,0,1,0,0,0,2,0,0,0,0
646,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
647,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
649,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0
654,15,1,26,0,0,1,0,1,0,0,1,3,2,0,0,1
657,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0
659,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
660,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,6
662,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
670,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
672,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0
684,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
693,4,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0
694,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
696,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
705,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
712,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,0,2,2,0,0,2,0,5,0,0,0,1,0,0,0,1
727,0,2,2,0,0,2,0,5,0,0,0,1,0,0,0,1
734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
746,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,1
747,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
751,0,4,4,0,0,2,0,5,0,0,0,1,0,0,0,1
753,3,0,36,0,0,2,6,2,0,0,0,0,0,0,0,0
754,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
760,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0
761,0,8,24,0,0,0,0,0,0,0,0,4,0,0,0,0
765,2,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0
769,0,4,10,0,0,1,0,0,0,0,0,0,0,0,0,0
774,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
775,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
778,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
781,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2
787,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
788,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
793,1,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0
797,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
804,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
806,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
807,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0
808,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0
812,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
817,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
835,2,2,39,0,0,2,17,1,0,0,0,9,0,0,0,3
836,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
838,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
840,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
844,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
850,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0
851,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
852,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
859,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0
860,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
862,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
866,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
869,13,3,59,2,1,0,24,12,0,0,0,15,0,0,0,2
