revision,unique_types,entropy
4092,2,0.256
4095,1,0.0
4102,1,0.0
4103,5,0.491
4109,1,0.0
4110,1,0.0
4111,4,0.429
4116,5,0.563
4117,2,0.256
4122,1,0.0
4123,3,0.384
4128,4,0.352
4130,2,0.235
4131,4,0.426
4132,2,0.179
4134,0,0.0
4135,3,0.406
4138,2,0.235
4141,1,0.0
4143,1,0.0
4144,6,0.447
4145,1,0.0
4146,2,0.235
4148,2,0.151
4151,1,0.0
4152,1,0.0
4153,5,0.509
4154,5,0.509
4155,6,0.55
4156,5,0.509
4157,2,0.256
4158,3,0.32
4161,1,0.0
4167,0,0.0
4168,1,0.0
4171,1,0.0
4172,1,0.0
4176,4,0.451
4185,2,0.256
4188,2,0.256
4193,1,0.0
4197,0,0.0
4198,2,0.235
4201,1,0.0
4203,1,0.0
4211,1,0.0
4218,1,0.0
4219,2,0.256
4227,1,0.0
4229,2,0.235
4231,2,0.166
4243,2,0.208
4248,3,0.32
4250,3,0.384
4256,0,0.0
4258,2,0.235
4262,2,0.235
4263,2,0.256
4264,1,0.0
4266,2,0.256
4268,3,0.406
4269,1,0.0
4271,4,0.384
4276,2,0.256
4277,1,0.0
4280,1,0.0
4290,3,0.294
4293,0,0.0
4294,1,0.0
4298,4,0.463
4299,0,0.0
4301,1,0.0
4310,6,0.563
4311,6,0.563
4317,1,0.0
4319,2,0.116
4326,15,0.667
4330,3,0.371
4331,1,0.0
4332,3,0.371
4333,2,0.235
4339,3,0.371
4340,1,0.0
4354,2,0.235
4364,1,0.0
4365,1,0.0
4369,0,0.0
4370,0,0.0
4371,3,0.313
4382,1,0.0
4383,1,0.0
4384,4,0.491
4392,3,0.406
4398,4,0.491
4403,1,0.0
4404,1,0.0
4406,1,0.0
4410,3,0.373
4436,1,0.0
4437,1,0.0
4438,1,0.0
4440,6,0.533
4441,6,0.64
4442,2,0.254
4443,6,0.533
4446,1,0.0
4449,1,0.0
4453,1,0.0
4464,5,0.385
4465,3,0.373
4472,2,0.235
4474,1,0.0
4476,1,0.0
4477,1,0.0
4478,3,0.406
4479,1,0.0
4483,4,0.375
4485,1,0.0
4493,7,0.515
4494,0,0.0
4495,1,0.0
4496,6,0.549
4497,8,0.679
4498,6,0.486
4499,3,0.406
4500,8,0.587
4501,3,0.406
4502,2,0.256
4507,0,0.0
4510,3,0.39
4512,2,0.256
4513,2,0.235
4514,1,0.0
4515,0,0.0
4517,1,0.0
4518,1,0.0
4520,1,0.0
4522,3,0.351
4525,1,0.0
4531,1,0.0
4535,1,0.0
4549,1,0.0
4558,4,0.459
4563,2,0.235
4564,2,0.256
4565,2,0.256
4571,5,0.48
4573,2,0.235
4579,2,0.062
4620,1,0.0
4627,1,0.0
4634,1,0.0
4635,3,0.406
4638,1,0.0
4642,1,0.0
4649,1,0.0
4650,1,0.0
4651,0,0.0
4653,5,0.576
4671,8,0.714
4680,1,0.0
4690,3,0.351
4704,5,0.402
4706,5,0.594
4714,2,0.256
4715,2,0.256
4716,2,0.256
4719,1,0.0
4723,8,0.553
4736,1,0.0
4749,2,0.256
4754,1,0.0
4755,1,0.0
4757,0,0.0
4764,8,0.386
4770,0,0.0
4772,2,0.235
4773,1,0.0
4783,1,0.0
4785,1,0.0
4789,0,0.0
4790,3,0.384
4792,1,0.0
4797,1,0.0
4799,3,0.384
4811,0,0.0
4813,3,0.384
4815,1,0.0
4816,1,0.0
4819,1,0.0
4824,0,0.0
4834,2,0.256
4837,2,0.256
4841,3,0.353
4851,1,0.0
4853,1,0.0
4857,1,0.0
4863,2,0.235
4865,6,0.542
4866,3,0.406
4868,5,0.527
4869,1,0.0
4871,4,0.492
4873,2,0.208
4878,1,0.0
4883,4,0.371
5159,1,0.0
5163,2,0.129
5164,2,0.208
5169,0,0.0
5174,0,0.0
5184,4,0.459
5199,1,0.0
5203,6,0.626
5206,1,0.0
5219,0,0.0
5222,1,0.0
5224,0,0.0
5229,1,0.0
5230,0,0.0
5231,1,0.0
5232,2,0.235
5234,5,0.446
5235,3,0.171
5238,1,0.0
5239,1,0.0
5240,4,0.492
5241,1,0.0
5246,0,0.0
5248,5,0.504
5249,1,0.0
5253,2,0.124
5261,4,0.492
5262,1,0.0
5266,2,0.235
5267,5,0.56
5271,2,0.256
5276,1,0.0
5277,1,0.0
5278,1,0.0
5279,4,0.352
5283,1,0.0
5290,3,0.351
5292,1,0.0
5293,2,0.249
5295,1,0.0
5305,1,0.0
5308,3,0.294
5314,3,0.326
5321,1,0.0
5323,7,0.63
5330,5,0.499
5332,2,0.256
5335,2,0.235
5338,2,0.256
5348,0,0.0
5349,0,0.0
5350,1,0.0
5358,4,0.396
5359,1,0.0
5362,1,0.0
5363,2,0.235
5364,1,0.0
5366,1,0.0
5367,1,0.0
5369,7,0.6
5372,3,0.171
5373,7,0.64
5374,7,0.64
5375,0,0.0
5379,2,0.208
5380,1,0.0
5388,6,0.64
5390,3,0.32
5392,1,0.0
5400,0,0.0
5404,8,0.719
5406,1,0.0
5407,1,0.0
5412,1,0.0
5413,1,0.0
5415,4,0.468
5416,0,0.0
5417,1,0.0
5419,1,0.0
5436,1,0.0
5439,1,0.0
5450,1,0.0
5454,1,0.0
5457,2,0.235
5460,1,0.0
5467,2,0.249
5469,6,0.613
5473,4,0.413
5476,2,0.151
5479,2,0.249
5481,1,0.0
5482,1,0.0
5483,1,0.0
5488,1,0.0
5489,1,0.0
5497,1,0.0
5498,3,0.39
5499,4,0.492
5500,0,0.0
5504,7,0.465
5505,1,0.0
5506,1,0.0
5511,3,0.406
5512,1,0.0
5513,1,0.0
5514,7,0.664
5518,1,0.0
5519,1,0.0
5522,0,0.0
5523,8,0.548
5532,3,0.406
5533,6,0.602
5539,3,0.373
5541,5,0.531
5547,0,0.0
5550,0,0.0
5551,3,0.294
5555,1,0.0
5556,1,0.0
5567,2,0.235
5575,2,0.249
5576,2,0.235
5580,3,0.198
5584,2,0.235
5587,2,0.235
5591,1,0.0
5593,1,0.0
5594,5,0.408
5595,5,0.408
5598,1,0.0
5612,1,0.0
5615,1,0.0
5617,1,0.0
5619,0,0.0
5620,0,0.0
5627,1,0.0
5634,3,0.384
5638,0,0.0
5641,5,0.544
5643,1,0.0
5647,1,0.0
5648,5,0.445
5659,4,0.492
5661,1,0.0
5664,2,0.235
5665,4,0.492
5670,1,0.0
5673,1,0.0
5674,1,0.0
5677,1,0.0
5685,2,0.235
5686,3,0.373
5687,0,0.0
5688,4,0.421
5689,2,0.256
5692,2,0.166
5695,0,0.0
5697,3,0.39
5698,1,0.0
5703,1,0.0
5705,1,0.0
5708,4,0.491
5709,4,0.491
5710,1,0.0
5711,4,0.491
5712,2,0.235
5715,2,0.166
5716,8,0.663
5719,8,0.663
5720,0,0.0
5721,2,0.256
5723,1,0.0
5726,1,0.0
5730,2,0.256
5731,1,0.0
5733,1,0.0
5734,1,0.0
5736,4,0.382
5739,2,0.208
5740,3,0.384
5744,1,0.0
5745,2,0.256
5748,5,0.417
5756,3,0.406
5761,4,0.473
5770,3,0.39
5771,1,0.0
5772,1,0.0
5773,1,0.0
5774,1,0.0
5775,2,0.235
5776,1,0.0
5777,0,0.0
5778,1,0.0
5779,1,0.0
5780,2,0.192
5781,3,0.384
5782,1,0.0
5783,0,0.0
5784,1,0.0
5785,1,0.0
5786,2,0.249
5788,2,0.235
5791,1,0.0
5793,3,0.351
5794,0,0.0
5795,4,0.457
5797,1,0.0
5799,1,0.0
5802,2,0.235
5804,5,0.481
5806,4,0.409
5810,3,0.373
5811,1,0.0
5812,3,0.373
5818,4,0.473
5822,1,0.0
5823,3,0.373
5826,1,0.0
5827,1,0.0
