revision,call,comment,refactoring,init,type,preprocessor,parameter,flow_control_stmt,access,cpp_feature,data_type,declaration,constructor,destructor,class,function
722,2,8,2,0,0,0,6,0,0,0,0,6,0,0,0,0
723,0,2,10,0,0,0,0,0,0,0,0,2,0,0,0,13
724,4,0,10,0,0,2,6,1,0,0,0,0,0,0,0,2
725,0,3,42,0,0,0,8,0,0,0,0,1,0,0,0,0
728,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0
730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
731,8,30,12,0,0,8,0,0,0,0,0,15,0,0,0,19
732,1,2,3,0,0,2,1,2,0,0,0,2,0,0,0,3
733,1,1,5,0,0,0,0,1,0,0,0,1,0,0,0,0
744,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
752,0,4,4,0,0,2,0,5,0,0,0,1,0,0,0,1
757,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0
762,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0
763,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
764,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0
771,1,2,17,0,2,0,0,9,0,0,0,1,0,0,0,0
777,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
779,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
780,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2
786,0,5,5,0,0,11,0,1,3,0,6,0,0,0,0,4
789,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
790,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2
791,0,0,53,0,0,15,37,0,0,0,0,2,0,0,0,0
798,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
803,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
809,0,10,108,1,0,1,4,3,0,0,1,2,0,0,0,4
811,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
820,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
821,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
822,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
823,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,2
824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
825,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
826,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
827,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
829,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0
830,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
831,2,4,35,3,1,1,2,2,0,0,0,7,0,1,0,3
834,0,3,1,0,0,0,1,3,0,0,0,1,0,0,0,0
837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
855,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
